#Gilbank et al 2010
#log(M_*)   passive_fraction error
8.2015826024 0.0102281775451 0.000890248585878
8.43138303681 0.0381680813715 0.00187812850255
8.745 0.0787306521148 0.00249092759885
9.035 0.0863395412124 0.00199445822089
9.337 0.120952572863 0.00217342424944
9.646 0.113345345715 0.00167464804026
9.948 0.213731880146 0.00271352240358
10.246 0.310740200773 0.00367566185176
10.537 0.413445997847 0.00480556274328
10.82 0.497275690349 0.00637271126577
11.11 0.622143777084 0.0107554303743
11.377 0.770912343528 0.0284742971005
11.6806681399 0.869375202769 0.112235856064
